재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IssuedCapital	            1. 자본금	145,224,895,000	145,224,895,000	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_RetainedEarnings	            5. 연결이익잉여금	3,343,146,287,544	3,250,497,246,514	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_RegulatoryReserveForCreditLoss	               (대손준비금 적립액)	-68,668,080,810	-63,816,185,348	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_RegulatoryReserveForCreditLossToBeAddedReversed	               (대손준비금 추가적립예정액)	-24,409,801,590	-4,851,895,462	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_EquityAndLiabilities	         부채 및 자본 총계	42,771,872,237,668	43,353,320,434,058	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Borrowings	            4. 차입부채	14,321,481,786,275	16,047,787,322,365	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentTaxLiabilities	            7. 당기법인세부채	105,473,806,314	14,803,729,865	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_DeferredTaxLiabilities	            8. 이연법인세부채	0	5,275,442,122	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_DepositsFromCustomers	            3. 예수부채	13,522,007,637,918	13,199,451,981,268	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_DerivativeFinancialLiabilities	            2. 파생상품부채	243,054,892,968	259,055,692,719	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss	            1. 당기손익-공정가치 측정 금융부채	6,514,334,844,798	6,371,647,491,750	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_LeaseLiabilities	            6. 리스부채	11,178,029,019	11,661,718,893	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Liabilities	            부    채    총    계	38,347,496,898,382	39,080,763,588,176	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherNonfinancialLiabilities	            9. 기타부채	3,609,373,432,907	3,138,154,205,339	
 재무상태표, 증권 - 별도	[039490]	키움증권	유가증권시장상장법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Provisions	            5. 충당부채	20,592,468,183	32,926,003,855	
